FLYBASE,query,SYMBOL,GENENAME,chromosome_name,start_position,end_position
FBgn0037291,CG14662,CG14662,uncharacterized protein,3R,4981999,4984232
FBgn0037292,CG2022,plh,pasang lhamu,3R,4986500,5011031
FBgn0037293,CG12007,CG12007,uncharacterized protein,3R,5128087,5129939
FBgn0037294,CG12590,CG12590,uncharacterized protein,3R,5159612,5160901
FBgn0037295,dpr16,dpr16,defective proboscis extension response 16,3R,5150908,5170121
FBgn0037296,Prosbeta2R2,Prosbeta2R2,Proteasome beta2 subunit-related 2,3R,5217751,5219528
FBgn0037297,CG1116,CG1116,uncharacterized protein,3R,5219657,5221548
FBgn0037298,CG2604,Sccpdh1,Saccheropin dehydrogenase 1,3R,5221632,5223365
FBgn0037299,CG1115,Vps37B,Vacuolar protein sorting 37B,3R,5226158,5227526
FBgn0037301,Mms19,Mms19,Mms19,3R,5232543,5236288
FBgn0037304,CG1113,CG1113,uncharacterized protein,3R,5253153,5255403
FBgn0037305,CG12173,CG12173,uncharacterized protein,3R,5255444,5256681
FBgn0037307,Tim17a2,Tim17a2,Tim17a2,3R,5258336,5262692
FBgn0037310,Tim17b1,Tim17b1,Tim17b1,3R,5300145,5301186
FBgn0037312,CG11999,CG11999,uncharacterized protein,3R,5353717,5354747
FBgn0037313,CG1161,CG1161,uncharacterized protein,3R,5355092,5356748
FBgn0037315,Cerk,Cerk,Ceramide kinase,3R,5358873,5368306
FBgn0037317,CG14667,CG14667,uncharacterized protein,3R,5375022,5376460
FBgn0037320,CG14668,CG14668,uncharacterized protein,3R,5386717,5387664
FBgn0037322,Or83a,Or83a,Odorant receptor 83a,3R,5397643,5399196
FBgn0037323,CG2663,CG2663,uncharacterized protein,3R,5400594,5404135
FBgn0037324,Or83b,Orco,Odorant receptor co-receptor,3R,5407183,5412406
FBgn0037325,CG12147,CG12147,uncharacterized protein,3R,5425369,5427257
FBgn0037326,CG14669,CG14669,uncharacterized protein,3R,5414527,5458394
FBgn0037327,PEK,PEK,pancreatic eIF-2alpha kinase,3R,5458563,5464753
FBgn0037328,RpL35A,RpL35A,Ribosomal protein L35A,3R,5465630,5467101
FBgn0037329,CG12162,POLDIP2,"Polymerase (DNA-directed), delta interacting protein 2",3R,5467778,5469566
FBgn0037330,mRpL44,mRpL44,mitochondrial ribosomal protein L44,3R,5469463,5470636
FBgn0037332,Hcs,Hcs,Holocarboxylase synthetase,3R,5474899,5485393
FBgn0037336,CG2519,CG2519,uncharacterized protein,3R,5539510,5547775
FBgn0037338,Snm1,Snm1,Snm1,3R,5555084,5557786
FBgn0037339,Pi4KIIalpha,Pi4KIIalpha,Phosphatidylinositol 4-kinase II alpha,3R,5557663,5563652
FBgn0037340,CG14671,CG14671,uncharacterized protein,3R,5563977,5564815
FBgn0037341,CG12746,CG12746,uncharacterized protein,3R,5564865,5567435
FBgn0037342,CG2931,CG2931,uncharacterized protein,3R,5567502,5568615
FBgn0037344,CG2926,CG2926,uncharacterized protein,3R,5579301,5588380
FBgn0037345,rev7,Rev7,DNA polymerase zeta Rev7 subunit,3R,5588873,5589703
FBgn0037347,CG1427,SecS,Sec synthetase,3R,5601433,5603185
FBgn0037350,CG2911,CG2911,uncharacterized protein,3R,5622119,5624125
FBgn0037351,RpL13A,RpL13A,Ribosomal protein L13A,3R,5624474,5625947
FBgn0037354,CG12171,CG12171,uncharacterized protein,3R,5633627,5634640
FBgn0037356,CG12170,CG12170,uncharacterized protein,3R,5637234,5638657
FBgn0037358,elm,elm,ethanol sensitive with low memory,3R,5652640,5654861
FBgn0037359,MED27,MED27,Mediator complex subunit 27,3R,5655139,5656336
FBgn0037360,CG2182,CG2182,uncharacterized protein,3R,5656236,5659912
FBgn0037363,CG1347,Atg17,Autophagy-related 17,3R,5669713,5679930
FBgn0037364,Rab23,Rab23,Rab23,3R,5680054,5685434
FBgn0037365,CG2104,CG2104,uncharacterized protein,3R,5690891,5693286
FBgn0037368,CG1239,CG1239,uncharacterized protein,3R,5733513,5734702
FBgn0037369,CG2100,CG2100,uncharacterized protein,3R,5734698,5736355
FBgn0037370,CG1236,CG1236,uncharacterized protein,3R,5736748,5738013
FBgn0037371,Sym,Sym,Symplekin,3R,5738178,5742476
FBgn0037372,CG2091,CG2091,uncharacterized protein,3R,5753318,5754774
FBgn0037374,jagn,jagn,jagunal,3R,5779315,5781308
FBgn0037375,kat-60L1,kat-60L1,katanin p60-like 1,3R,5781762,5787465
FBgn0037376,CG2051,Hat1,Histone acetyltransferase 1,3R,5787337,5789384
FBgn0037377,CG1218,CG1218,uncharacterized protein,3R,5791879,5793383
FBgn0037378,CG2046,PSMG1,Proteasome assembly chaperone 1,3R,5793308,5794317
FBgn0037379,CG10979,CG10979,uncharacterized protein,3R,5794705,5799994
FBgn0037382,Hpr1,Hpr1,Hpr1,3R,5818794,5821440
FBgn0037383,CG2023,Sec20,Secretory 20,3R,5822026,5824532
FBgn0037384,CG10981,dgrn,degringolade,3R,5824615,5826576
FBgn0037385,glob3,glob3,globin 3,3R,5830062,5831785
FBgn0037386,CG1208,CG1208,uncharacterized protein,3R,5831639,5838782
FBgn0037387,CG1213,CG1213,uncharacterized protein,3R,5841170,5846568
FBgn0037389,CG10991,CR10991,pseudo,3R,5848876,5849688
FBgn0037391,CG2017,CG2017,uncharacterized protein,3R,5858083,5862405
FBgn0037395,CG10280,CG10280,uncharacterized protein,3R,6010573,6011932
FBgn0037396,CG11459,CG11459,uncharacterized protein,3R,6025826,6027238
FBgn0037397,CG1075,CR1075,pseudo,3R,6027767,6028621
FBgn0037398,CG15580,CG15580,uncharacterized protein,3R,6054712,6057536
FBgn0037399,Or83c,Or83c,Odorant receptor 83c,3R,6076804,6078283
FBgn0037402,Vha14,Vha14-2,Vacuolar H[+] ATPase 14kD subunit 2,3R,6122592,6124405
FBgn0037405,CG1077,CG1077,uncharacterized protein,3R,6167483,6170309
FBgn0037408,NPFR1,NPFR,Neuropeptide F receptor,3R,6187315,6195403
FBgn0037409,CG15589,Osi24,Osiris 24,3R,6198811,6207678
FBgn0037410,Osi2,Osi2,Osiris 2,3R,6209373,6213493
FBgn0037413,Osi5,Osi5,Osiris 5,3R,6227512,6228828
FBgn0037414,Osi7,Osi7,Osiris 7,3R,6248994,6251683
FBgn0037416,Osi9,Osi9,Osiris 9,3R,6260211,6262105
FBgn0037418,Osi11,Osi11,Osiris 11,3R,6267591,6268757
FBgn0037419,Osi12,Osi12,Osiris 12,3R,6278531,6282495
FBgn0037420,CG15597,CG15597,uncharacterized protein,3R,6284462,6285200
FBgn0037421,CG15594,CG15594,uncharacterized protein,3R,6287733,6289824
FBgn0037422,Osi13,Osi13,Osiris 13,3R,6291737,6293489
FBgn0037424,Osi15,Osi15,Osiris 15,3R,6301804,6303653
FBgn0037427,Osi17,Osi17,Osiris 17,3R,6311772,6327308
FBgn0037428,Osi18,Osi18,Osiris 18,3R,6330248,6331809
FBgn0037429,Osi19,Osi19,Osiris 19,3R,6335362,6337196
FBgn0037430,Osi20,Osi20,Osiris 20,3R,6340095,6341424
FBgn0037431,CG17917,CG17917,uncharacterized protein,3R,6341968,6342873
FBgn0037432,CG10298,CG10298,uncharacterized protein,3R,6343002,6343799
FBgn0037433,CG17919,CG17919,uncharacterized protein,3R,6344029,6345087
FBgn0037435,CG18048,CG18048,uncharacterized protein,3R,6346111,6347519
FBgn0037436,Hr83,Hr83,Hormone receptor 83,3R,6349243,6350512
FBgn0037439,CG10286,CG10286,uncharacterized protein,3R,6368965,6371115
FBgn0037440,CG1041,CRAT,Carnitine O-Acetyl-Transferase,3R,6371026,6376044
FBgn0037442,CG10277,gzl,godzilla E3 ubiquitin protein ligase,3R,6382914,6388304
FBgn0037443,CG1021,Dmtn,Dementin,3R,6389162,6405895
FBgn0037445,CG9727,CG9727,uncharacterized protein,3R,6449944,6456676
FBgn0037446,CG10267,Zif,Zinc-finger protein,3R,6457088,6458822
FBgn0037447,Neurochondrin,Neurochondrin,neurochondrin,3R,6468437,6471016
FBgn0037448,CG15186,CG15186,uncharacterized protein,3R,6478311,6495025
FBgn0037464,CG1988,Mst84B,Male-specific transcript 84B,3R,7062175,7064370
FBgn0037465,CG1105,CG1105,uncharacterized protein,3R,7064186,7067136
FBgn0037466,CG1965,CG1965,uncharacterized protein,3R,7067401,7071624
FBgn0037467,CG1104,Ufl1,UFM1 specific ligase 1,3R,7071624,7074452
FBgn0037468,CG1943,CG1943,uncharacterized protein,3R,7074859,7077981
FBgn0037469,Dpck,Dpck,Dephospho-CoA kinase,3R,7082182,7083251
FBgn0037470,CG1091,Tailor,tailor,3R,7083225,7086083
FBgn0037472,CG10098,CG10098,uncharacterized protein,3R,7124548,7126503
FBgn0037473,CG10068,CG10068,uncharacterized protein,3R,7126271,7128027
FBgn0037475,Fer1,Fer1,48 related 1,3R,7136206,7141972
FBgn0037477,CG14610,CG14610,uncharacterized protein,3R,7143729,7144295
FBgn0037478,CG2656,CG2656,uncharacterized protein,3R,7144724,7151270
FBgn0037481,MAGE,MAGE,MAGE,3R,7154238,7155180
FBgn0037482,CG10055,CG10055,uncharacterized protein,3R,7184101,7186673
FBgn0037483,CG14609,CG14609,uncharacterized protein,3R,7200970,7203450
FBgn0037485,CG14606,CG14606,uncharacterized protein,3R,7214339,7217083
FBgn0037486,CG14605,CG14605,uncharacterized protein,3R,7217679,7219705
FBgn0037487,CG14608,thw,thawb,3R,7224414,7241138
FBgn0037488,CG14607,CG14607,uncharacterized protein,3R,7241760,7244006
FBgn0037489,CG1234,CG1234,uncharacterized protein,3R,7244232,7246969
FBgn0037490,CG10053,CG10053,uncharacterized protein,3R,7247090,7248140
FBgn0037491,CG1227,CG1227,uncharacterized protein,3R,7248151,7249738
FBgn0037492,CG10050,CG10050,uncharacterized protein,3R,7249795,7251750
FBgn0037493,CG10032,CR10032,pseudo,3R,7271592,7272509
FBgn0037498,CG10029,CG10029,uncharacterized protein,3R,7315724,7317207
FBgn0037503,CG14598,CG14598,uncharacterized protein,3R,7439760,7441976
FBgn0037504,CG1142,CG1142,uncharacterized protein,3R,7472458,7473781
FBgn0037512,CG2616,CG2616,uncharacterized protein,3R,7722417,7724715
FBgn0037513,pyd3,pyd3,pyd3,3R,7747913,7750079
FBgn0037514,CG10919,CG10919,uncharacterized protein,3R,7758122,7759677
FBgn0037515,Sp7,Sp7,Serine protease 7,3R,7759786,7763947
FBgn0037517,CG10086,CG10086,uncharacterized protein,3R,7790633,7793483
FBgn0037518,CG2641,CG2641,uncharacterized protein,3R,7794069,7796599
FBgn0037519,CG3014,CG3014,uncharacterized protein,3R,7799264,7802793
FBgn0037520,CG18268,CG18268,uncharacterized protein,3R,7802831,7804432
FBgn0037521,CG2993,CG2993,uncharacterized protein,3R,7804665,7810014
FBgn0037525,CG17816,CG17816,uncharacterized protein,3R,7855582,7886733
FBgn0037526,CG10092,ArgRS-m,"Arginyl-tRNA synthetase, mitochondrial",3R,7887045,7890150
FBgn0037529,mRpS9,mRpS9,mitochondrial ribosomal protein S9,3R,7889277,7902667
FBgn0037530,CG2943,EMC1,ER membrane protein complex subunit 1,3R,7903030,7907363
FBgn0037531,CG10445,CG10445,uncharacterized protein,3R,7916599,7920299
FBgn0037533,CD98hc,CD98hc,CD98 heavy chain,3R,7974409,7978428
FBgn0037534,CG2781,ELOVL,ELOVL fatty acid elongase,3R,7981817,7995852
FBgn0037535,CG14463,PIG-H,Phosphatidylinositol glycan anchor biosynthesis class H,3R,7999832,8001064
FBgn0037536,CG2698,CG2698,uncharacterized protein,3R,8001562,8006033
FBgn0037537,CG2767,CG2767,uncharacterized protein,3R,8005924,8008110
FBgn0037538,CG3223,CG3223,uncharacterized protein,3R,8009400,8011018
FBgn0037539,CG10435,CG10435,uncharacterized protein,3R,8010907,8013201
FBgn0037540,Pbp95,Pbp95,PSEA-binding protein 95kD,3R,8013791,8016610
FBgn0037541,CG2747,CG2747,uncharacterized protein,3R,8016210,8030790
FBgn0037543,CG10903,CG10903,uncharacterized protein,3R,8030411,8032145
FBgn0037544,CG11035,CG11035,uncharacterized protein,3R,8031130,8033009
FBgn0037546,CG7918,mAChR-B,"muscarinic Acetylcholine Receptor, B-type",3R,8059284,8087049
FBgn0037547,CG7910,CG7910,uncharacterized protein,3R,8087252,8089526
FBgn0037548,CG7900,CG7900,uncharacterized protein,3R,8094124,8105083
FBgn0037549,CG7878,CG7878,uncharacterized protein,3R,8122725,8125273
FBgn0037550,CG9667,CG9667,uncharacterized protein,3R,8125290,8126357
FBgn0037551,Gie,Arl8,ADP ribosylation factor-like 8,3R,8126605,8129835
FBgn0037552,CG7800,CG7800,uncharacterized protein,3R,8217957,8219734
FBgn0037553,CG18249,CG18249,uncharacterized protein,3R,8220146,8222188
FBgn0037554,DNApol-iota,DNApol-iota,DNA polymerase iota,3R,8233507,8237389
FBgn0037555,Ada2b,Ada2b,transcriptional Adaptor 2b,3R,8236632,8240515
FBgn0037556,CG9636,CG9636,uncharacterized protein,3R,8240747,8243792
FBgn0037560,CR18228,CR18228,pseudo,3R,8260706,8261898
FBgn0037561,CG9630,CG9630,uncharacterized protein,3R,8267943,8269896
FBgn0037562,CG11671,Nazo,nazo,3R,8287876,8288613
FBgn0037563,CG11672,CG11672,uncharacterized protein,3R,8289395,8290578
FBgn0037565,CG9626,CG9626,uncharacterized protein,3R,8293843,8300978
FBgn0037566,mRpL1,mRpL1,mitochondrial ribosomal protein L1,3R,8301440,8302770
FBgn0037569,tex,tex,tex,3R,8307473,8308645
FBgn0037570,CG11693,CG11693,uncharacterized protein,3R,8308881,8310778
FBgn0037571,CG11694,CG11694,uncharacterized protein,3R,8311203,8312137
FBgn0037572,CG11698,CG11698,uncharacterized protein,3R,8312188,8313097
FBgn0037573,eIF4AIII,CG7483,uncharacterized protein,3R,8313208,8314864
FBgn0037574,Coq2,Coq2,Coenzyme Q biosynthesis protein 2,3R,8314784,8316543
FBgn0037578,CG9601,CG9601,uncharacterized protein,3R,8341661,8343516
FBgn0037579,CG18193,COX7AL,Cytochrome c oxidase subunit 7A-like,3R,8343669,8344310
FBgn0037580,DppIII,DppIII,Dipeptidyl aminopeptidase III,3R,8344400,8347465
FBgn0037581,CG7352,CG7352,uncharacterized protein,3R,8347579,8349296
FBgn0037583,CG9684,CG9684,uncharacterized protein,3R,8359958,8362554
FBgn0037584,CG7963,CG7963,uncharacterized protein,3R,8362826,8363894
FBgn0037589,Obp85a,Obp85a,Odorant-binding protein 85a,3R,8419822,8420597
FBgn0037590,Or85b,Or85b,Odorant receptor 85b,3R,8510077,8511358
FBgn0037591,Or85c,Or85c,Odorant receptor 85c,3R,8511734,8513022
FBgn0037592,CG11737,CG11737,uncharacterized protein,3R,8517868,8521378
FBgn0037594,Or85d,Or85d,Odorant receptor 85d,3R,8552608,8553968
FBgn0037601,Cyp313b1,Cyp313b1,Cyp313b1,3R,8643070,8645650
FBgn0037602,CG8021,SLIRP2,SRA stem-loop interacting RNA binding protein 2,3R,8651084,8651493
FBgn0037603,CG11753,CG11753,uncharacterized protein,3R,8652821,8653847
FBgn0037606,CG8032,CG8032,uncharacterized protein,3R,8664115,8667772
FBgn0037607,CG8036,CG8036,uncharacterized protein,3R,8667868,8673702
FBgn0037608,mRpL19,mRpL19,mitochondrial ribosomal protein L19,3R,8674109,8675196
FBgn0037609,CG9773,CG9773,uncharacterized protein,3R,8675283,8676613
FBgn0037610,CG8043,CG8043,uncharacterized protein,3R,8676915,8678233
FBgn0037611,CG11755,CG11755,uncharacterized protein,3R,8676915,8678955
FBgn0037612,CG8112,CG8112,uncharacterized protein,3R,8712933,8715263
FBgn0037613,Cks85A,Cks85A,Cyclin-dependent kinase subunit 85A,3R,8712906,8718456
FBgn0037614,CG8116,TMEM216,Transmembrane protein 216,3R,8716243,8721320
FBgn0037616,CG8136,CG8136,uncharacterized protein,3R,8721371,8723051
FBgn0037617,CG8145,nom,numerous disordered muscles,3R,8723174,8725357
FBgn0037618,CG11762,ouib,ouija board,3R,8725479,8726730
FBgn0037619,CG8159,CG8159,uncharacterized protein,3R,8726854,8728370
FBgn0037620,CG9793,ranshi,ranshi,3R,8728367,8729693
FBgn0037621,CG9797,M1BP,Motif 1 Binding Protein,3R,8729790,8731698
FBgn0037622,CG8202,CG8202,uncharacterized protein,3R,8732091,8735837
FBgn0037623,CG9801,CG9801,uncharacterized protein,3R,8735879,8747675
FBgn0037624,CG8223,CG8223,uncharacterized protein,3R,8747798,8754104
FBgn0037625,CG11768,CG11768,uncharacterized protein,3R,8749206,8768200
FBgn0037626,CG8236,CG8236,uncharacterized protein,3R,8769394,8771150
FBgn0037632,Tcp-1eta,CCT7,Chaperonin containing TCP1 subunit 7,3R,8801564,8806234
FBgn0037633,CG9839,CG9839,uncharacterized protein,3R,8803471,8805802
FBgn0037634,CG8359,hng2,hinge2,3R,8806322,8807581
FBgn0037635,CG9837,CG9837,uncharacterized protein,3R,8807679,8813579
FBgn0037637,CG9836,IscU,Iron-sulfur cluster assembly enzyme,3R,8822849,8824177
FBgn0037638,CG8379,CG8379,uncharacterized protein,3R,8824411,8827279
FBgn0037643,skap,ScsbetaA,"Succinyl-coenzyme A synthetase beta subunit, ADP-forming",3R,8938724,8943027
FBgn0037644,CG11964,CG11964,uncharacterized protein,3R,8942954,8945020
FBgn0037646,CG11967,CAHbeta,Carbonic anhydrase beta,3R,8980860,8982793
FBgn0037647,RagA,RagA-B,Ras-related GTP binding A/B,3R,8982732,8984315
FBgn0037648,CG11975,CG11975,uncharacterized protein,3R,8993253,8995212
FBgn0037650,CG11977,CG11977,uncharacterized protein,3R,8997697,8998678
FBgn0037652,CG11980,CG11980,uncharacterized protein,3R,9004017,9005331
FBgn0037653,CG11982,Iru,Iruka,3R,9006456,9008030
FBgn0037654,CG11983,CG11983,uncharacterized protein,3R,9008321,9010274
FBgn0037655,CG11984,Kcmf1,Potassium channel modulatory factor 1,3R,9010282,9014909
FBgn0037656,CG11986,CG11986,uncharacterized protein,3R,9015446,9016822
FBgn0037657,hyx,hyx,hyrax,3R,9038760,9042349
FBgn0037659,CG11033,Kdm2,Lysine (K)-specific demethylase 2,3R,9052495,9063245
FBgn0037660,CG18005,beag,beag,3R,9063132,9065078
FBgn0037661,Ada,Ada,Adenosine deaminase,3R,9065183,9066303
FBgn0037664,CG8420,CG8420,uncharacterized protein,3R,9246649,9251431
FBgn0037665,CG16733,St2,Sulfotransferase 2,3R,9251843,9253514
FBgn0037666,CG16735,CR16735,pseudo,3R,9253545,9254683
FBgn0037667,CG16734,CG16734,uncharacterized protein,3R,9255052,9256731
FBgn0037668,CG16736,CG16736,uncharacterized protein,3R,9256689,9257716
FBgn0037669,CG9740,Ibf2,Insulator binding factor 2,3R,9257727,9258501
FBgn0037670,CG8436,Ibf1,Insulator binding factor 1,3R,9258964,9260400
FBgn0037671,CG8444,ATP6AP2,ATPase H+ transporting accessory protein 2,3R,9260638,9262590
FBgn0037672,sage,sage,salivary gland-expressed bHLH,3R,9262654,9264142
FBgn0037676,CG8861,CG8861,uncharacterized protein,3R,9293642,9328511
FBgn0037677,CG12951,CG12951,uncharacterized protein,3R,9329223,9330331
FBgn0037678,CG16749,CG16749,uncharacterized protein,3R,9330885,9331885
FBgn0037679,CG8866,Aduk,Another Drosophila Unc-51-like kinase,3R,9332064,9334714
FBgn0037680,CG8121,pasi2,pasiflora 2,3R,9335170,9337459
FBgn0037683,CG18473,CG18473,uncharacterized protein,3R,9363305,9364838
FBgn0037684,CG8129,Srr,Serine racemase,3R,9365398,9367763
FBgn0037685,Or85f,Or85f,Odorant receptor 85f,3R,9398190,9399551
FBgn0037686,RpL34b,RpL34b,Ribosomal protein L34b,3R,9400237,9401226
FBgn0037687,CG8132,CG8132,uncharacterized protein,3R,9401495,9402618
FBgn0037688,CG9356,CG9356,uncharacterized protein,3R,9402564,9404269
FBgn0037689,CG8135,CG8135,uncharacterized protein,3R,9404385,9407857
FBgn0037690,Task7,Task7,TWIK-related acid-sensitive K[+] channel 7,3R,9410329,9412293
FBgn0037696,CG9362,GstZ1,Glutathione S transferase Z1,3R,9455517,9456546
FBgn0037697,CG9363,GstZ2,Glutathione S transferase Z2,3R,9456815,9460652
FBgn0037698,CG16779,CG16779,uncharacterized protein,3R,9461084,9493677
FBgn0037700,CG8149,CG8149,uncharacterized protein,3R,9504656,9505865
FBgn0037702,CG8176,CG8176,uncharacterized protein,3R,9516007,9527237
FBgn0037703,CG8165,JHDM2,JmjC domain-containing histone demethylase 2,3R,9516007,9520938
FBgn0037705,mura,mura,murashka,3R,9535625,9551806
FBgn0037707,RnpS1,RnpS1,RNA-binding protein S1,3R,9552034,9553747
FBgn0037708,CG9386,CG9386,uncharacterized protein,3R,9553696,9555408
FBgn0037709,CG8199,CG8199,uncharacterized protein,3R,9555785,9557776
FBgn0037710,CG9393,CG9393,uncharacterized protein,3R,9561583,9563673
FBgn0037712,CG16789,CG16789,uncharacterized protein,3R,9566195,9569189
FBgn0037713,CG16790,CG16790,uncharacterized protein,3R,9569074,9570214
FBgn0037714,CG9396,CG9396,uncharacterized protein,3R,9570414,9571623
FBgn0037715,CG9399,CG9399,uncharacterized protein,3R,9571911,9574211
FBgn0037716,CG8273,Son,Son RNA binding protein,3R,9578042,9581225
FBgn0037717,CG8301,CG8301,uncharacterized protein,3R,9581306,9586648
FBgn0037718,P58IPK,P58IPK,P58IPK,3R,9586942,9589581
FBgn0037719,bocksbeutel,bocks,bocksbeutel,3R,9589468,9591002
FBgn0037720,CG8312,CG8312,uncharacterized protein,3R,9591309,9625073
FBgn0037721,CG9427,CG9427,uncharacterized protein,3R,9625157,9626930
FBgn0037722,CG8319,CG8319,uncharacterized protein,3R,9627321,9628676
FBgn0037723,SpdS,SpdS,Spermidine Synthase,3R,9631641,9633673
FBgn0037724,Fst,Fst,Frost,3R,9644978,9646154
FBgn0037726,CG9492,CG9492,uncharacterized protein,3R,9651179,9674643
FBgn0037727,CG8358,Nepl12,Neprilysin-like 12,3R,9675523,9677778
FBgn0037728,CG16817,p23,p23,3R,9677927,9679658
FBgn0037730,CG9444,CG9444,uncharacterized protein,3R,9681415,9684264
FBgn0037731,CG18542,CG18542,uncharacterized protein,3R,9685760,9687141
FBgn0037734,trbd,trbd,trabid,3R,9705996,9711037
FBgn0037736,CG12950,side-VII,sidestep VII,3R,9734012,9739979
FBgn0037737,Pnn,Pnn,Pinin,3R,9740899,9742844
FBgn0037739,CG12948,CG12948,uncharacterized protein,3R,9746167,9747744
FBgn0037741,CG16908,CG16908,uncharacterized protein,3R,9751088,9754686
FBgn0037742,Rpt3R,Rpt3R,Regulatory particle triple-A ATPase 3-related,3R,9754735,9756510
FBgn0037743,CG8412,CG8412,uncharacterized protein,3R,9756491,9759313
FBgn0037746,CG8478,CG8478,uncharacterized protein,3R,9763650,9766135
FBgn0037747,CG8481,Naa80,N(alpha)-acetyltransferase 80,3R,9767834,9770027
FBgn0037749,CG9471,CG9471,uncharacterized protein,3R,9770532,9771542
FBgn0037750,Whamy,Whamy,WHAMM and JMY related,3R,9771795,9774419
FBgn0037751,topi,topi,matotopetli,3R,9775121,9777943
FBgn0037753,CG12947,CG12947,uncharacterized protein,3R,9780064,9783054
FBgn0037754,CG8500,CG8500,uncharacterized protein,3R,9784653,9789323
FBgn0037755,CG12945,CG12945,uncharacterized protein,3R,9787816,9791221
FBgn0037756,CG8507,CG8507,uncharacterized protein,3R,9791483,9793098
FBgn0037757,CG8516,CG8516,uncharacterized protein,3R,9793295,9797754
FBgn0037758,CG9467,CG9467,uncharacterized protein,3R,9797769,9801026
FBgn0037759,CG8526,CG8526,uncharacterized protein,3R,9801280,9803461
FBgn0037760,FBX011,FBXO11,F-box protein 11,3R,9803486,9809368
FBgn0037761,CG8534,CG8534,uncharacterized protein,3R,9812747,9813939
FBgn0037762,eloF,eloF,elongase F,3R,9814161,9815158
FBgn0037764,CG9459,CG9459,uncharacterized protein,3R,9817428,9818395
FBgn0037765,CG9458,CG9458,uncharacterized protein,3R,9818914,9819877
FBgn0037766,Teh1,Teh1,tipE homolog 1,3R,9826081,9868120
FBgn0037770,Art4,Art4,Arginine methyltransferase 4,3R,9982816,9986060
FBgn0037772,CG12807,Spn85F,Serpin 85F,3R,9997163,10000314
FBgn0037773,CG5359,CG5359,uncharacterized protein,3R,9999771,10001276
FBgn0037777,CG11722,CG11722,uncharacterized protein,3R,10044596,10045542
FBgn0037778,mtTFB2,mtTFB2,mitochondrial transcription factor B2,3R,10045574,10047260
FBgn0037779,CG12811,CG12811,uncharacterized protein,3R,10047252,10048797
FBgn0037780,CG3925,ohgt,ohgata,3R,10049199,10051527
FBgn0037781,Fancl,Fancl,fancl,3R,10051508,10052869
FBgn0037783,Npc2c,Npc2c,Niemann-Pick type C-2c,3R,10060252,10061136
FBgn0037788,CG3940,CAH7,Carbonic anhydrase 7,3R,10112237,10120081
FBgn0037792,CG6241,TAF1B,TATA box-binding protein-associated factor RNA polymerase I subunit B,3R,10140103,10144184
FBgn0037794,CG6254,CG6254,uncharacterized protein,3R,10159144,10161331
FBgn0037796,CG12814,CG12814,uncharacterized protein,3R,10171156,10189603
FBgn0037797,CG12420,CG12420,uncharacterized protein,3R,10222698,10223745
FBgn0037798,CG12817,CG12817,uncharacterized protein,3R,10223440,10224725
FBgn0037801,CG3999,CG3999,uncharacterized protein,3R,10251518,10255268
FBgn0037802,Sirt6,Sirt6,Sirtuin 6,3R,10255349,10261849
FBgn0037807,CG6293,CG6293,uncharacterized protein,3R,10307806,10311613
FBgn0037809,CG12818,CG12818,uncharacterized protein,3R,10331581,10332695
FBgn0037810,sle,sle,slender lobes,3R,10333115,10338265
FBgn0037811,CG12592,CG12592,uncharacterized protein,3R,10338342,10340872
FBgn0037812,CG18545,CG18545,uncharacterized protein,3R,10340949,10341668
FBgn0037814,CG6325,CG6325,uncharacterized protein,3R,10402967,10407285
FBgn0037815,Rrp46,Rrp46,Rrp46,3R,10413301,10414242
FBgn0037816,CG6345,CG6345,uncharacterized protein,3R,10414218,10416046
FBgn0037817,Cyp12e1,Cyp12e1,Cyp12e1,3R,10434789,10436704
FBgn0037818,CG6465,CG6465,uncharacterized protein,3R,10675560,10677251
FBgn0037819,CG14688,CG14688,uncharacterized protein,3R,10677737,10680925
FBgn0037822,CG14683,CG14683,uncharacterized protein,3R,10696647,10698976
FBgn0037824,CG14684,CG14684,uncharacterized protein,3R,10706974,10707460
FBgn0037826,CG14689,CG14689,uncharacterized protein,3R,10709588,10711248
FBgn0037827,CG4073,CG4073,uncharacterized protein,3R,10714798,10715901
FBgn0037829,CG14691,CG14691,uncharacterized protein,3R,10753331,10755634
FBgn0037831,Cap-H2,Cap-H2,Chromosome associated protein H2,3R,10761310,10766756
FBgn0037832,CG14686,Desi,Desiccate,3R,10779569,10780825
FBgn0037834,Art1,Art1,Arginine methyltransferase 1,3R,10786481,10788226
FBgn0037835,CG14687,CG14687,uncharacterized protein,3R,10792904,10793643
FBgn0037836,CG14692,CG14692,uncharacterized protein,3R,10794058,10803955
FBgn0037837,CG14693,CG14693,uncharacterized protein,3R,10811581,10815047
FBgn0037838,CG4089,TTLL15,Tubulin tyrosine ligase-like 15,3R,10815288,10817490
FBgn0037841,CG4565,CG4565,uncharacterized protein,3R,10852724,10853644
FBgn0037842,CG6567,CG6567,uncharacterized protein,3R,10853374,10854451
FBgn0037843,CG4511,CG4511,uncharacterized protein,3R,10854501,10856412
FBgn0037844,CG4570,CG4570,uncharacterized protein,3R,10856807,10858066
FBgn0037845,CG14694,CG14694,uncharacterized protein,3R,10858202,10859813
FBgn0037846,CG6574,CG6574,uncharacterized protein,3R,10860531,10862988
FBgn0037848,Tsp86D,Tsp86D,Tetraspanin 86D,3R,10868708,10870555
