GENEID,TXNAME,TXCHROM,TXSTRAND,exonic.gene.sizes
FBgn0259739,FBtr0300044,3L,+,1142
FBgn0259740,FBtr0304667,3R,+,634
FBgn0259741,FBtr0344967,X,-,851
FBgn0259742,FBtr0299959,2R,+,1936
FBgn0259745,FBtr0300082,2R,-,7991
FBgn0259748,FBtr0300506,3L,-,651
FBgn0259749,FBtr0079269,2L,-,2195
FBgn0259785,FBtr0331793,3L,+,4093
FBgn0259789,FBtr0307537,X,-,10605
FBgn0259791,FBtr0075108,3L,+,2002
FBgn0259794,FBtr0301683,3L,+,1450
FBgn0259795,FBtr0087092,2R,+,2144
FBgn0259818,FBtr0301929,2L,-,5305
FBgn0259821,FBtr0336454,3R,+,5061
FBgn0259822,FBtr0306386,2L,-,8354
FBgn0259823,FBtr0305613,3R,+,5536
FBgn0259824,FBtr0075518,3L,+,3910
FBgn0259831,FBtr0112505,3R,+,588
FBgn0259832,FBtr0112422,2R,+,474
FBgn0259834,FBtr0344324,X,-,3414
FBgn0259838,FBtr0300135,Y,-,1459
FBgn0259841,FBtr0300140,Y,-,1484
FBgn0259843,FBtr0300137,Y,+,1417
FBgn0259845,FBtr0300136,Y,-,1848
FBgn0259846,FBtr0300143,Y,-,727
FBgn0259847,FBtr0300144,Y,+,997
FBgn0259848,FBtr0300145,Y,+,977
FBgn0259850,FBtr0346688,Y,-,1412
FBgn0259851,FBtr0300149,Y,-,820
FBgn0259852,FBtr0300148,Y,-,692
FBgn0259853,FBtr0300151,Y,-,1339
FBgn0259855,FBtr0300152,Y,+,1690
FBgn0259856,FBtr0300153,Y,+,1663
FBgn0259857,FBtr0300154,Y,-,1688
FBgn0259858,FBtr0300155,Y,+,500
FBgn0259859,FBtr0300156,Y,+,852
FBgn0259860,FBtr0300157,Y,+,1695
FBgn0259861,FBtr0300158,Y,-,1383
FBgn0259862,FBtr0300159,Y,+,1247
FBgn0259863,FBtr0346689,Y,-,755
FBgn0259869,FBtr0346690,Y,-,1189
FBgn0259875,FBtr0346687,Y,+,1443
FBgn0259876,FBtr0299507,2R,+,4387
FBgn0259878,FBtr0087398,2R,-,3561
FBgn0259896,FBtr0343644,2L,-,3292
FBgn0259916,FBtr0300199,3L,-,1134
FBgn0259917,FBtr0300198,3R,-,1076
FBgn0259918,FBtr0300200,X,-,3113
FBgn0259922,FBtr0300217,2L,+,670
FBgn0259923,FBtr0074371,X,-,3370
FBgn0259926,FBtr0300221,X,+,1217
FBgn0259927,FBtr0300218,X,+,8896
FBgn0259932,FBtr0300238,3L,+,1262
FBgn0259933,FBtr0300240,3L,+,2326
FBgn0259935,FBtr0300248,3L,+,3731
FBgn0259936,FBtr0081385,2L,+,836
FBgn0259937,FBtr0072258,2R,+,3412
FBgn0259938,FBtr0082246,3R,+,5092
FBgn0259949,FBtr0300295,2L,-,322
FBgn0259950,FBtr0343241,2L,-,553
FBgn0259951,FBtr0300296,2L,-,522
FBgn0259952,FBtr0300297,2L,-,456
FBgn0259953,FBtr0302203,2L,-,384
FBgn0259954,FBtr0300300,2L,+,300
FBgn0259955,FBtr0300301,2L,+,401
FBgn0259956,FBtr0300302,2L,+,363
FBgn0259957,FBtr0300303,2L,+,361
FBgn0259958,FBtr0300304,2L,-,578
FBgn0259959,FBtr0300305,2L,-,309
FBgn0259960,FBtr0300308,2L,-,527
FBgn0259961,FBtr0300307,2L,-,330
FBgn0259962,FBtr0300306,2L,-,359
FBgn0259963,FBtr0300309,2L,+,337
FBgn0259964,FBtr0300310,2L,+,418
FBgn0259965,FBtr0300311,2L,-,368
FBgn0259966,FBtr0300323,2R,-,538
FBgn0259967,FBtr0345495,2R,-,820
FBgn0259968,FBtr0300313,2R,-,399
FBgn0259969,FBtr0300314,3L,+,554
FBgn0259970,FBtr0339295,3L,-,331
FBgn0259971,FBtr0333129,3L,-,227
FBgn0259972,FBtr0346540,3L,-,1093
FBgn0259973,FBtr0300318,3L,+,233
FBgn0259974,FBtr0300322,3R,-,685
FBgn0259975,FBtr0300319,3R,+,396
FBgn0259977,FBtr0086143,2R,-,2281
FBgn0259978,FBtr0086039,2R,+,2818
FBgn0259979,FBtr0086038,2R,+,1661
FBgn0259982,FBtr0310430,2L,+,1011
FBgn0259984,FBtr0342903,2L,+,7100
FBgn0259985,FBtr0088024,2R,-,1790
FBgn0259986,FBtr0302032,3L,-,2470
FBgn0259989,FBtr0300437,2L,+,927
FBgn0259990,FBtr0300439,3R,-,1718
FBgn0259991,FBtr0300440,3R,+,2158
FBgn0259992,FBtr0310656,3R,-,658
FBgn0259993,FBtr0300446,X,-,747
FBgn0259994,FBtr0310286,X,-,7548
FBgn0259996,FBtr0344577,2L,+,754
FBgn0259998,FBtr0081376,2L,-,1205
FBgn0260000,FBtr0081375,2L,-,1006
FBgn0260002,FBtr0114326,3R,+,77
FBgn0260003,FBtr0110917,3R,+,21204
FBgn0260004,FBtr0333928,3R,-,2280
FBgn0260005,FBtr0081753,3R,+,4367
FBgn0260006,FBtr0100009,X,+,3280
FBgn0260007,FBtr0300507,2R,+,590
FBgn0260008,FBtr0301784,3L,+,1613
FBgn0260011,FBtr0080592,2L,+,1282
FBgn0260012,FBtr0087974,2R,+,4929
FBgn0260026,FBtr0300584,3L,+,1337
FBgn0260027,FBtr0300582,3L,+,654
FBgn0260049,FBtr0075845,3L,+,2343
FBgn0260222,FBtr0342958,2R,+,1206
FBgn0260223,FBtr0300626,2R,-,691
FBgn0260224,FBtr0300624,3R,-,814
FBgn0260225,FBtr0300629,X,+,1197
FBgn0260226,FBtr0300627,3R,-,440
FBgn0260228,FBtr0345441,2L,-,2425
FBgn0260229,FBtr0300637,3R,-,1420
FBgn0260230,FBtr0300639,3R,-,3446
FBgn0260231,FBtr0300638,3R,-,3446
FBgn0260233,FBtr0300641,3L,-,4441
FBgn0260234,FBtr0310518,3R,-,1029
FBgn0260237,FBtr0300646,3R,+,2767
FBgn0260238,FBtr0346519,X,+,1814
FBgn0260243,FBtr0082012,3R,-,2136
FBgn0260386,FBtr0310080,3R,+,2402
FBgn0260388,FBtr0300657,3L,-,2508
FBgn0260390,FBtr0300660,2R,-,1970
FBgn0260392,FBtr0300663,2R,+,899
FBgn0260393,FBtr0310467,3L,+,1136
FBgn0260396,FBtr0300668,3L,-,457
FBgn0260397,FBtr0074825,3L,+,3681
FBgn0260398,FBtr0300658,2R,-,1970
FBgn0260399,FBtr0083674,3R,+,3099
FBgn0260400,FBtr0307173,X,-,10715
FBgn0260401,FBtr0300664,2R,+,871
FBgn0260407,FBtr0080566,2L,-,707
FBgn0260428,FBtr0300851,2L,+,995
FBgn0260429,FBtr0300853,2R,+,2407
FBgn0260430,FBtr0300854,3L,-,1461
FBgn0260431,FBtr0300855,3L,-,1598
FBgn0260434,FBtr0300858,3L,+,1409
FBgn0260435,FBtr0302459,2L,-,402
FBgn0260436,FBtr0300859,2R,+,600
FBgn0260437,FBtr0300860,2R,+,509
FBgn0260439,FBtr0005088,2L,+,2757
FBgn0260440,FBtr0085651,3R,+,2087
FBgn0260442,FBtr0305211,3L,+,11083
FBgn0260444,FBtr0082643,3R,+,2189
FBgn0260446,FBtr0304731,2L,+,5642
FBgn0260447,FBtr0299927,X,-,539
FBgn0260450,FBtr0074226,X,+,2687
FBgn0260451,FBtr0110984,2L,+,3042
FBgn0260452,FBtr0079247,2L,+,657
FBgn0260453,FBtr0100838,2L,-,2398
FBgn0260454,FBtr0100836,2L,-,2398
FBgn0260455,FBtr0072109,2R,-,739
FBgn0260456,FBtr0072332,2R,-,2070
FBgn0260458,FBtr0091710,3L,+,3957
FBgn0260459,FBtr0075858,3L,-,1101
FBgn0260461,FBtr0074936,3L,+,1906
FBgn0260462,FBtr0078822,3R,-,2985
FBgn0260463,FBtr0082095,3R,-,3984
FBgn0260464,FBtr0082829,3R,+,1117
FBgn0260466,FBtr0091937,3R,+,4064
FBgn0260467,FBtr0344525,3R,+,1826
FBgn0260468,FBtr0085563,3R,+,1192
FBgn0260469,FBtr0301970,3L,+,927
FBgn0260470,FBtr0079005,2L,+,3042
FBgn0260474,FBtr0302050,2R,+,1572
FBgn0260475,FBtr0087715,2R,-,1683
FBgn0260477,FBtr0300950,2R,-,822
FBgn0260479,FBtr0079501,2L,-,3572
FBgn0260480,FBtr0072962,3L,-,1175
FBgn0260481,FBtr0078529,3L,+,1835
FBgn0260482,FBtr0073904,X,+,1233
FBgn0260484,FBtr0070600,X,+,2050
FBgn0260486,FBtr0330721,2L,-,8696
FBgn0260487,FBtr0300898,3R,+,6325
FBgn0260499,FBtr0114575,2R,+,5103
FBgn0260632,FBtr0301383,2L,-,6432
FBgn0260634,FBtr0344335,3R,-,9097
FBgn0260635,FBtr0333617,3L,-,3143
FBgn0260639,FBtr0077641,2L,+,1850
FBgn0260642,FBtr0081648,3R,-,7945
FBgn0260643,FBtr0300948,3L,-,674
FBgn0260644,FBtr0300949,3L,-,763
FBgn0260645,FBtr0301001,3R,+,376
FBgn0260646,FBtr0301002,3L,+,270
FBgn0260648,FBtr0077883,2L,+,1031
FBgn0260653,FBtr0333862,3L,-,2541
FBgn0260655,FBtr0333896,3L,-,4347
FBgn0260657,FBtr0301098,3L,+,5118
FBgn0260658,FBtr0332388,X,-,9707
FBgn0260659,FBtr0301101,3R,+,2765
FBgn0260660,FBtr0301105,3L,+,6568
FBgn0260713,FBtr0301214,3R,+,363
FBgn0260718,FBtr0301174,2L,-,416
FBgn0260719,FBtr0301172,2L,-,759
FBgn0260720,FBtr0301177,2R,-,2463
FBgn0260721,FBtr0475316,3L,-,275
FBgn0260722,FBtr0301248,3R,-,1968
FBgn0260741,FBtr0082511,3R,-,1870
FBgn0260742,FBtr0113223,3R,-,2841
FBgn0260743,FBtr0082484,3R,+,1658
FBgn0260744,FBtr0347147,3R,-,3673
FBgn0260745,FBtr0306696,3R,-,3518
FBgn0260746,FBtr0082487,3R,+,2236
FBgn0260747,FBtr0074387,X,+,1290
FBgn0260748,FBtr0074386,X,+,5665
FBgn0260749,FBtr0080076,2L,-,4418
FBgn0260750,FBtr0079986,2L,+,1300
FBgn0260753,FBtr0340085,X,+,4668
FBgn0260755,FBtr0301252,3L,+,1251
FBgn0260756,FBtr0301253,3L,+,1023
FBgn0260758,FBtr0301255,2L,+,1332
FBgn0260759,FBtr0301256,3R,+,1095
FBgn0260760,FBtr0301257,3R,+,1095
FBgn0260761,FBtr0301258,2R,-,1001
FBgn0260762,FBtr0301263,2R,-,970
FBgn0260763,FBtr0301265,2R,+,566
FBgn0260764,FBtr0301266,2R,+,482
FBgn0260766,FBtr0301268,3R,+,1587
FBgn0260767,FBtr0345499,2R,+,2577
FBgn0260768,FBtr0301270,2R,+,873
FBgn0260770,FBtr0301273,2R,-,1472
FBgn0260771,FBtr0301275,X,+,2049
FBgn0260775,FBtr0301272,2R,-,1472
FBgn0260776,FBtr0301333,3L,+,1977
FBgn0260777,FBtr0331799,3L,+,1023
FBgn0260779,FBtr0083718,3R,-,1661
FBgn0260780,FBtr0073573,X,+,5320
FBgn0260789,FBtr0071332,X,-,6237
FBgn0260793,FBtr0301436,3R,-,8905
FBgn0260794,FBtr0334902,3R,-,11869
FBgn0260795,FBtr0301438,3L,+,3715
FBgn0260798,FBtr0345363,2R,-,2519
FBgn0260799,FBtr0111114,2R,+,2685
FBgn0260812,FBtr0301267,X,-,3208
FBgn0260817,FBtr0077574,2L,+,2221
FBgn0260855,FBtr0070141,X,+,1749
FBgn0260856,FBtr0077145,3L,+,858
FBgn0260857,FBtr0074989,3L,+,987
FBgn0260858,FBtr0071093,X,+,1469
FBgn0260859,FBtr0089879,3L,-,1125
FBgn0260860,FBtr0085570,3R,+,1051
FBgn0260861,FBtr0079730,2L,+,765
FBgn0260862,FBtr0072607,3L,-,1370
FBgn0260866,FBtr0330229,2R,-,3553
FBgn0260867,FBtr0301567,X,+,418
FBgn0260868,FBtr0301566,X,+,333
FBgn0260869,FBtr0301565,X,+,413
FBgn0260870,FBtr0301564,X,+,412
FBgn0260871,FBtr0301573,X,-,258
FBgn0260873,FBtr0301570,X,+,378
FBgn0260874,FBtr0301607,3L,+,2109
FBgn0260932,FBtr0088034,2R,+,1295
FBgn0260933,FBtr0078078,2L,-,5772
FBgn0260934,FBtr0330243,2R,+,12693
FBgn0260935,FBtr0081986,3R,-,4542
FBgn0260936,FBtr0077100,3L,+,5470
FBgn0260938,FBtr0310065,X,-,8676
FBgn0260940,FBtr0084135,3R,+,941
FBgn0260941,FBtr0334103,3L,-,9018
FBgn0260942,FBtr0084261,3R,+,1923
FBgn0260943,FBtr0333861,3L,-,15616
FBgn0260944,FBtr0082275,3R,+,1528
FBgn0260945,FBtr0075945,3L,-,4148
FBgn0260953,FBtr0301738,2L,+,1225
FBgn0260954,FBtr0301741,2L,-,613
FBgn0260955,FBtr0301742,2L,-,279
FBgn0260959,FBtr0301430,2R,-,3754
FBgn0260960,FBtr0075355,3L,-,2844
FBgn0260962,FBtr0082709,3R,+,3881
FBgn0260964,FBtr0091491,2R,-,8134
FBgn0260965,FBtr0301717,3L,+,8603
FBgn0260967,FBtr0301744,3L,-,855
FBgn0260968,FBtr0301743,3L,-,508
FBgn0260969,FBtr0301747,3R,-,679
FBgn0260970,FBtr0301748,X,+,9371
FBgn0260971,FBtr0301749,X,+,5127
FBgn0260972,FBtr0088625,2R,-,1544
FBgn0260985,FBtr0073264,3L,-,1127
FBgn0260986,FBtr0070258,X,+,1749
FBgn0260987,FBtr0113746,3L,+,2527
FBgn0260990,FBtr0085477,3R,+,4765
FBgn0260991,FBtr0344892,2R,+,2838
FBgn0260995,FBtr0334939,2R,+,993
FBgn0260996,FBtr0301799,2L,-,676
FBgn0260997,FBtr0343637,3L,-,1158
FBgn0261004,FBtr0078743,3R,-,3187
FBgn0261006,FBtr0309752,3R,+,140
FBgn0261015,FBtr0301876,3R,-,9951
FBgn0261016,FBtr0305178,2R,-,5621
FBgn0261019,FBtr0299938,3R,+,2089
FBgn0261020,FBtr0079614,2L,-,1335
FBgn0261041,FBtr0304695,2R,+,6273
FBgn0261046,FBtr0113397,3R,-,8512
FBgn0261049,FBtr0082070,3R,+,2055
FBgn0261053,FBtr0301933,3R,+,7321
FBgn0261054,FBtr0301934,2L,-,386
FBgn0261055,FBtr0333233,2L,-,612
FBgn0261057,FBtr0301937,2L,+,254
FBgn0261058,FBtr0301938,2L,+,1234
FBgn0261059,FBtr0333971,3L,-,829
FBgn0261060,FBtr0301940,3R,-,329
FBgn0261061,FBtr0301941,3R,-,168
FBgn0261064,FBtr0079581,2L,+,1846
FBgn0261065,FBtr0083690,3R,-,2190
FBgn0261067,FBtr0071628,2R,-,588
FBgn0261068,FBtr0343770,2L,-,727
FBgn0261085,FBtr0073767,X,+,4823
FBgn0261086,FBtr0336485,3R,-,3871
FBgn0261089,FBtr0303254,2L,+,3190
FBgn0261090,FBtr0299849,3L,-,4563
FBgn0261108,FBtr0081843,3R,+,3003
FBgn0261109,FBtr0075595,3L,-,1714
FBgn0261111,FBtr0076834,3L,+,1557
FBgn0261112,FBtr0076208,3L,+,1867
FBgn0261113,FBtr0083700,3R,+,4826
FBgn0261119,FBtr0086723,2R,-,1757
FBgn0261238,FBtr0300494,3R,-,9675
FBgn0261239,FBtr0081478,2L,+,4984
FBgn0261243,FBtr0072697,3L,+,4221
FBgn0261244,FBtr0073826,X,+,7128
FBgn0261245,FBtr0074318,X,+,2271
FBgn0261258,FBtr0309230,3L,+,4346
FBgn0261260,FBtr0343369,X,-,17674
FBgn0261261,FBtr0302091,3R,+,7272
FBgn0261262,FBtr0304687,3R,+,8687
FBgn0261266,FBtr0080316,2L,-,1148
FBgn0261267,FBtr0302222,2R,+,421
FBgn0261268,FBtr0302156,2L,-,5403
FBgn0261269,FBtr0087540,2R,+,4343
FBgn0261270,FBtr0087564,2R,-,1887
FBgn0261274,FBtr0073217,3L,+,2100
FBgn0261276,FBtr0087573,2R,-,3968
FBgn0261277,FBtr0331743,X,-,1273
FBgn0261278,FBtr0080884,2L,+,3049
FBgn0261279,FBtr0299516,3R,+,5967
FBgn0261283,FBtr0074873,3L,+,4056
FBgn0261284,FBtr0071004,X,+,703
FBgn0261285,FBtr0083752,3R,-,4134
FBgn0261286,FBtr0083275,3R,-,3797
FBgn0261287,FBtr0084894,3R,-,1842
FBgn0261289,FBtr0345058,3R,+,686
FBgn0261290,FBtr0091780,3R,-,582
FBgn0261291,FBtr0091686,3R,-,826
FBgn0261292,FBtr0091520,2R,+,681
FBgn0261293,FBtr0091479,2R,+,615
FBgn0261294,FBtr0091928,3L,-,609
FBgn0261341,FBtr0302335,3L,-,2368
FBgn0261349,FBtr0302267,2L,-,1558
FBgn0261353,FBtr0302271,3L,+,1529
FBgn0261356,FBtr0302274,3R,-,1126
FBgn0261357,FBtr0302275,2L,+,1028
FBgn0261358,FBtr0302276,2L,+,1028
FBgn0261360,FBtr0302277,3L,-,6521
FBgn0261361,FBtr0302283,3L,-,3070
FBgn0261363,FBtr0302290,2R,+,2228
FBgn0261373,FBtr0301037,2R,-,809
FBgn0261380,FBtr0302273,3R,-,1356
FBgn0261381,FBtr0302272,3L,+,1529
FBgn0261383,FBtr0070842,X,-,6250
FBgn0261385,FBtr0100216,2R,+,4447
FBgn0261387,FBtr0111277,2R,-,4686
FBgn0261393,FBtr0307274,3R,-,2490
FBgn0261394,FBtr0071522,2R,+,973
FBgn0261395,FBtr0085738,3R,-,889
FBgn0261396,FBtr0302289,2L,+,1831
FBgn0261397,FBtr0089743,2R,+,6502
FBgn0261399,FBtr0346674,Y,+,954
FBgn0261401,FBtr0302292,3L,-,1872
FBgn0261402,FBtr0302293,3L,-,1818
FBgn0261403,FBtr0086084,2R,+,3678
FBgn0261429,FBtr0302350,2R,+,2652
FBgn0261434,FBtr0078951,3R,-,1567
FBgn0261436,FBtr0078986,3R,-,1590
FBgn0261437,FBtr0079646,2L,+,641
FBgn0261439,FBtr0086552,2R,-,2750
FBgn0261444,FBtr0336978,X,-,9056
FBgn0261445,FBtr0076938,3L,-,2275
FBgn0261446,FBtr0070106,X,-,1605
FBgn0261452,FBtr0309753,3R,+,119
FBgn0261453,FBtr0309754,3R,+,122
FBgn0261454,FBtr0309755,3L,+,147
FBgn0261455,FBtr0309756,3R,+,101
FBgn0261456,FBtr0331920,2R,-,2804
FBgn0261458,FBtr0100023,2L,-,3233
FBgn0261461,FBtr0299623,X,-,7478
FBgn0261477,FBtr0331958,2R,+,3081
FBgn0261479,FBtr0085863,3R,-,1114
FBgn0261501,FBtr0302392,2R,-,219
FBgn0261502,FBtr0302394,3R,+,765
FBgn0261503,FBtr0334273,3R,-,2076
FBgn0261504,FBtr0302398,3R,-,299
FBgn0261505,FBtr0334741,2R,+,1396
FBgn0261506,FBtr0331803,3L,-,503
FBgn0261507,FBtr0307886,3L,-,519
FBgn0261508,FBtr0302437,3R,-,255
FBgn0261509,FBtr0310017,2L,+,7054
FBgn0261514,FBtr0304719,2L,+,2877
FBgn0261522,FBtr0344595,X,+,888
FBgn0261523,FBtr0302458,2L,-,765
FBgn0261524,FBtr0073720,X,+,1951
FBgn0261526,FBtr0301519,3L,-,4104
FBgn0261529,FBtr0080623,2L,+,4826
FBgn0261530,FBtr0306039,3L,-,2599
FBgn0261531,FBtr0303712,2L,+,429
FBgn0261532,FBtr0336472,3R,-,3691
FBgn0261534,FBtr0343680,2L,-,750
FBgn0261535,FBtr0080639,2L,-,2321
FBgn0261536,FBtr0302558,3L,+,2597
FBgn0261537,FBtr0302559,3L,+,2597
FBgn0261538,FBtr0309868,2R,-,2791
FBgn0261545,FBtr0302644,2R,+,4068
FBgn0261547,FBtr0302651,3L,+,7879
FBgn0261549,FBtr0302662,X,+,13764
FBgn0261550,FBtr0302673,3R,+,5637
FBgn0261552,FBtr0111027,3R,+,13660
FBgn0261553,FBtr0302697,3L,+,6697
FBgn0261554,FBtr0302702,2R,+,8384
FBgn0261555,FBtr0302709,3L,+,6878
FBgn0261556,FBtr0332699,3L,-,10693
FBgn0261560,FBtr0077524,2L,+,755
FBgn0261561,FBtr0303165,3R,+,2744
FBgn0261562,FBtr0302729,3L,+,2889
FBgn0261563,FBtr0305063,2L,+,13907
FBgn0261564,FBtr0302767,2R,+,4472
FBgn0261565,FBtr0302779,3L,+,12091
FBgn0261566,FBtr0302802,2L,-,251
FBgn0261567,FBtr0302803,2L,+,344
FBgn0261568,FBtr0343681,2L,+,669
FBgn0261570,FBtr0302835,X,+,9647
FBgn0261571,FBtr0473612,2L,-,5002
FBgn0261573,FBtr0302861,X,+,5742
FBgn0261574,FBtr0346077,3L,+,14507
FBgn0261575,FBtr0084847,3R,-,2104
FBgn0261580,FBtr0347025,2R,-,1281
FBgn0261581,FBtr0302888,2R,-,928
FBgn0261582,FBtr0302893,2L,+,663
FBgn0261583,FBtr0302894,3R,-,408
FBgn0261584,FBtr0334011,2R,+,2918
FBgn0261586,FBtr0344486,2L,+,455
FBgn0261587,FBtr0302904,2R,-,818
FBgn0261588,FBtr0302919,2R,+,5381
FBgn0261592,FBtr0071135,X,-,1195
FBgn0261596,FBtr0071935,2R,-,646
FBgn0261597,FBtr0346591,2L,-,1864
FBgn0261599,FBtr0334681,3R,+,1007
FBgn0261602,FBtr0072924,3L,+,1173
FBgn0261608,FBtr0302570,2L,+,777
FBgn0261609,FBtr0343016,X,-,1519
FBgn0261610,FBtr0302921,X,+,4296
FBgn0261611,FBtr0302922,2R,+,6071
FBgn0261612,FBtr0302924,2R,-,4259
FBgn0261614,FBtr0302953,2R,-,488
FBgn0261615,FBtr0302954,X,+,501
FBgn0261616,FBtr0302955,X,+,740
FBgn0261617,FBtr0302723,X,-,15932
FBgn0261618,FBtr0301181,3R,-,9126
FBgn0261624,FBtr0302971,X,-,813
FBgn0261625,FBtr0302977,2R,-,4149
FBgn0261627,FBtr0302991,2L,-,702
FBgn0261628,FBtr0343646,2L,-,983
FBgn0261630,FBtr0340258,2L,+,674
FBgn0261631,FBtr0302996,3L,-,451
FBgn0261632,FBtr0347197,2R,+,337
FBgn0261633,FBtr0302998,3L,+,325
FBgn0261634,FBtr0302999,3L,-,373
FBgn0261635,FBtr0303001,3L,-,351
FBgn0261636,FBtr0344638,3L,-,944
FBgn0261638,FBtr0309069,3R,+,2266
FBgn0261639,FBtr0303009,3L,+,849
FBgn0261640,FBtr0303010,3L,+,810
FBgn0261641,FBtr0303017,3R,-,6156
FBgn0261647,FBtr0077762,2L,+,4318
FBgn0261648,FBtr0089913,2L,-,6118
FBgn0261649,FBtr0089771,3R,+,7148
FBgn0261671,FBtr0304927,2L,+,16466
FBgn0261673,FBtr0339741,2R,-,3597
FBgn0261674,FBtr0302980,3L,+,2403
FBgn0261675,FBtr0077239,X,+,3971
FBgn0261679,FBtr0303074,3R,+,2285
FBgn0261680,FBtr0303075,3R,+,2285
FBgn0261681,FBtr0303076,3L,-,577
FBgn0261682,FBtr0303077,3L,-,607
FBgn0261683,FBtr0303078,2L,-,2650
FBgn0261686,FBtr0303084,2R,-,630
FBgn0261697,FBtr0303079,2L,-,2650
FBgn0261698,FBtr0329872,2R,-,10039
FBgn0261700,FBtr0340530,2R,+,542
FBgn0261702,FBtr0303196,3R,+,693
FBgn0261703,FBtr0310308,X,+,5809
FBgn0261704,FBtr0303201,3R,-,4135
FBgn0261705,FBtr0303203,2R,-,3453
FBgn0261706,FBtr0303209,2R,+,1114
FBgn0261707,FBtr0303212,2L,-,2399
FBgn0261709,FBtr0303215,2L,+,827
FBgn0261710,FBtr0332953,X,-,10734
FBgn0261714,FBtr0082547,3R,-,2853
FBgn0261722,FBtr0075541,3L,-,3020
FBgn0261723,FBtr0290136,3L,+,2488
FBgn0261786,FBtr0072058,2R,+,3845
FBgn0261787,FBtr0081403,2L,-,4892
FBgn0261788,FBtr0303113,3L,-,46942
FBgn0261789,FBtr0081737,3R,-,778
FBgn0261790,FBtr0079560,2L,-,521
FBgn0261791,FBtr0074377,X,-,483
FBgn0261792,FBtr0083720,3R,-,687
FBgn0261793,FBtr0112927,X,+,10332
FBgn0261794,FBtr0343299,2R,+,4946
FBgn0261797,FBtr0332745,3L,-,14597
FBgn0261799,FBtr0075409,3L,-,3496
FBgn0261800,FBtr0079490,2L,+,6282
FBgn0261801,FBtr0303270,3L,+,2857
FBgn0261802,FBtr0333742,2L,+,14224
FBgn0261803,FBtr0303278,X,+,1812
FBgn0261804,FBtr0343817,2L,-,6916
FBgn0261805,FBtr0303281,2L,+,422
FBgn0261806,FBtr0303282,2L,-,791
FBgn0261807,FBtr0303283,2R,+,663
FBgn0261808,FBtr0335218,3R,+,3253
FBgn0261811,FBtr0074805,X,-,8245
FBgn0261813,FBtr0344645,3L,-,1097
FBgn0261814,FBtr0303300,3R,-,623
FBgn0261816,FBtr0303303,3L,+,631
FBgn0261817,FBtr0303304,3R,+,359
FBgn0261822,FBtr0079566,2L,+,11657
FBgn0261823,FBtr0087493,2R,+,7167
FBgn0261830,FBtr0303390,2L,-,593
FBgn0261831,FBtr0303391,2L,-,660
FBgn0261832,FBtr0303392,3L,-,988
FBgn0261833,FBtr0346734,3R,-,588
FBgn0261834,FBtr0303395,X,+,732
FBgn0261835,FBtr0303397,X,-,866
FBgn0261836,FBtr0303389,2L,+,69810
FBgn0261837,FBtr0346907,3R,+,1824
FBgn0261838,FBtr0303402,3R,+,1824
FBgn0261839,FBtr0303405,3R,+,2671
FBgn0261840,FBtr0433514,3R,+,3406
FBgn0261841,FBtr0303407,3R,+,2455
FBgn0261842,FBtr0303406,3R,+,2455
FBgn0261843,FBtr0303408,3R,+,4377
FBgn0261844,FBtr0303409,3R,+,4276
FBgn0261845,FBtr0303410,3R,+,4318
FBgn0261847,FBtr0303412,3R,+,511
FBgn0261848,FBtr0303416,X,-,802
FBgn0261849,FBtr0303417,X,-,258
FBgn0261850,FBtr0071576,2R,+,2797
FBgn0261853,FBtr0347196,2R,-,599
FBgn0261854,FBtr0303434,2R,-,6433
FBgn0261856,FBtr0303442,2R,+,450
FBgn0261857,FBtr0303443,3R,+,510
FBgn0261858,FBtr0303463,3L,+,386
FBgn0261859,FBtr0303485,3R,-,6686
FBgn0261860,FBtr0479752,3R,-,484
FBgn0261861,FBtr0445673,3R,+,1416
FBgn0261862,FBtr0088308,2R,-,3175
FBgn0261871,FBtr0340553,2L,-,3039
FBgn0261872,FBtr0091474,3L,-,3831
FBgn0261873,FBtr0100376,X,+,11042
FBgn0261881,FBtr0080728,2L,-,800
FBgn0261885,FBtr0089581,3R,-,10723
FBgn0261924,FBtr0342854,2L,+,410
FBgn0261925,FBtr0344601,2L,-,468
FBgn0261927,FBtr0344580,X,+,475
FBgn0261928,FBtr0303601,3R,+,11033
FBgn0261929,FBtr0303603,3R,+,6333
FBgn0261930,FBtr0110929,X,+,4322
FBgn0261931,FBtr0303708,X,+,6958
FBgn0261932,FBtr0332163,3R,+,592
FBgn0261933,FBtr0075952,3L,-,729
FBgn0261934,FBtr0303750,3L,-,12226
FBgn0261938,FBtr0332273,2L,-,4718
FBgn0261952,FBtr0300579,3L,-,523
FBgn0261953,FBtr0333465,3L,+,2564
FBgn0261954,FBtr0307289,X,+,10285
FBgn0261955,FBtr0070906,X,+,2836
FBgn0261963,FBtr0310358,2L,+,2920
FBgn0261973,FBtr0303791,2R,+,98
FBgn0261974,FBtr0303792,2R,+,91
FBgn0261975,FBtr0304022,2R,+,803
FBgn0261976,FBtr0331449,2L,-,868
FBgn0261983,FBtr0080197,2L,+,3043
FBgn0261984,FBtr0113248,3R,-,4034
FBgn0261985,FBtr0306560,3L,+,4649
FBgn0261986,FBtr0084898,3R,+,3429
FBgn0261987,FBtr0083508,3R,+,2716
FBgn0261988,FBtr0334555,3R,+,4690
FBgn0261989,FBtr0346185,2R,-,2101
